term;normalized;game_id;canonical_name;source
#BLUD;blud;wikidata_q123398592;#BLUD;external
#DRIVE Rally;drive rally;wikidata_q129521260;#DRIVE Rally;external
'n Verlore Verstand;n verlore verstand;wikidata_q23776813;'n Verlore Verstand;external
HajiLove -Making * Lovers-;hajilove making lovers;wikidata_q120336440;-Making*Lovers- First Blush;external
-Making*Lovers- First Blush;making lovers first blush;wikidata_q120336440;-Making*Lovers- First Blush;external
.hack//G.U.;hack g u;wikidata_q2708372;.hack//G.U.;external
.hack//G.U. Last Recode;hack g u last recode;wikidata_q30646554;.hack//G.U. Last Recode;external
.hack//GU Last Recode;hack gu last recode;wikidata_q30646554;.hack//G.U. Last Recode;external
10 Second Ninja X;10 second ninja x;wikidata_q42266754;10 Second Ninja X;external
10-Yard Fight;10 yard fight;wikidata_q2669580;10-Yard Fight;external
1000 Deaths;1000 deaths;wikidata_q134837792;1000 Deaths;external
1000xResist;1000xresist;wikidata_q125500612;1000xResist;external
1001 Spikes;1001 spikes;wikidata_q17505226;1001 Spikes;external
Aban Hawkins & the 1001 Spikes;aban hawkins and the 1001 spikes;wikidata_q17505226;1001 Spikes;external
100ft Robot Golf;100ft robot golf;wikidata_q29564205;100ft Robot Golf;external
100ft Robot Golf (VR);100ft robot golf vr;wikidata_q29564205;100ft Robot Golf;external
101 Ways To Die;101 ways to die;wikidata_q58046766;101 Ways To Die;external
11-11 Memories Retold;11 11 memories retold;wikidata_q58874101;11-11 Memories Retold;external
112 Operator;112 operator;wikidata_q108855009;112 Operator;external
13 Sentinels;13 sentinels;wikidata_q20982904;13 Sentinels: Aegis Rim;external
13 Sentinels: Aegis Rim;13 sentinels aegis rim;wikidata_q20982904;13 Sentinels: Aegis Rim;external
Jūsan Kihei Bōeiken;j san kihei b eiken;wikidata_q20982904;13 Sentinels: Aegis Rim;external
1348 Ex Voto;1348 ex voto;wikidata_q135916240;1348 Ex Voto;external
140;140;wikidata_q15665645;140;external
15in1 Solitaire;15in1 solitaire;wikidata_q126692800;15in1 Solitaire;external
16-Bit Soccer;16 bit soccer;wikidata_q122307487;16-Bit Soccer;external
1971 Project Helios;1971 project helios;wikidata_q106563965;1971 Project Helios;external
1979 Revolution;1979 revolution;wikidata_q23976492;1979 Revolution: Black Friday;external
1979 Revolution: Black Friday;1979 revolution black friday;wikidata_q23976492;1979 Revolution: Black Friday;external
198X;198x;wikidata_q96109427;198X;external
1993 Shenandoah;1993 shenandoah;wikidata_q115184723;1993 Shenandoah;external
1998;1998;wikidata_q135064171;1998: The Toll Keeper Story;external
1998: The Toll Keeper Story;1998 the toll keeper story;wikidata_q135064171;1998: The Toll Keeper Story;external
2018 God of War;2018 god of war;wikidata_q18345138;2018 God of War;external
God of War: A New Beginning;god of war a new beginning;wikidata_q18345138;2018 God of War;external
2064;2064;wikidata_q16267865;2064: Read Only Memories;external
2064: Read Only Memories;2064 read only memories;wikidata_q16267865;2064: Read Only Memories;external
Read Only Memories: Type-M;read only memories type m;wikidata_q16267865;2064: Read Only Memories;external
2 Dark;2 dark;wikidata_q28841925;2Dark;external
2Dark;2dark;wikidata_q28841925;2Dark;external
Two Dark;two dark;wikidata_q28841925;2Dark;external
TwoDark;twodark;wikidata_q28841925;2Dark;external
2urvive;2urvive;wikidata_q126974925;2urvive;external
36 Fragments of Midnight;36 fragments of midnight;wikidata_q101229854;36 Fragments of Midnight;external
3D Billiards - Pool & Snooker;3d billiards pool and snooker;wikidata_q126951585;3D Billiards - Pool & Snooker;external
3D Billiards - Pool & Snooker - Remastered;3d billiards pool and snooker remastered;wikidata_q126951585;3D Billiards - Pool & Snooker;external
3D Pool;3d pool;wikidata_q126951585;3D Billiards - Pool & Snooker;external
3D Pool - Billiards & Snooker;3d pool billiards and snooker;wikidata_q126951585;3D Billiards - Pool & Snooker;external
3on3 FreeStyle;3on3 freestyle;wikidata_q90408122;3on3 FreeStyle;external
3on3 FreeStyle: Rebound;3on3 freestyle rebound;wikidata_q90408122;3on3 FreeStyle;external
400 Days;400 days;wikidata_q16207063;400 Days;external
The Walking Dead: 400 Days;the walking dead 400 days;wikidata_q16207063;400 Days;external
41 Hours;41 hours;wikidata_q106918741;41 Hours;external
428: Fūsa Sareta Shibuya de;428 f sa sareta shibuya de;wikidata_q1045444;428: Shibuya Scramble;external
428: Shibuya Scramble;428 shibuya scramble;wikidata_q1045444;428: Shibuya Scramble;external
4A Engine;4a engine;wikidata_q4031580;4A Engine;external
5 Star Wrestling;5 star wrestling;wikidata_q127048637;5 Star Wrestling: ReGenesis;external
5 Star Wrestling: ReGenesis;5 star wrestling regenesis;wikidata_q127048637;5 Star Wrestling: ReGenesis;external
60 Parsecs!;60 parsecs;wikidata_q57521163;60 Parsecs!;external
60 Секунд!;60 cekyhд;wikidata_q23303396;60 Seconds!;external
60 Seconds!;60 seconds;wikidata_q23303396;60 Seconds!;external
60 Seconds! Reatomized;60 seconds reatomized;wikidata_q66140694;60 Seconds! Reatomized;external
63 Days;63 days;wikidata_q125446973;63 Days;external
6 Souls;6 souls;wikidata_q109996577;6Souls;external
6Souls;6souls;wikidata_q109996577;6Souls;external
7 Days to Die;7 days to die;wikidata_q14753828;7 Days to Die;external
7DTD;7dtd;wikidata_q14753828;7 Days to Die;external
70s-style Robot Anime Geppy-X;70s style robot anime geppy x;wikidata_q138497899;70s-style Robot Anime Geppy-X;external
7th Sector;7th sector;wikidata_q64698768;7th Sector;external
Носков Сергей;hockob cepгeй;wikidata_q64698768;7th Sector;external
Noskov Sergey;noskov sergey;wikidata_q64698768;7th Sector;external
sector-5;sector 5;wikidata_q64698768;7th Sector;external
8 To Glory;8 to glory;wikidata_q127050382;8 To Glory;external
8 to Glory - Bull Riding;8 to glory bull riding;wikidata_q127050382;8 To Glory;external
8 To Glory - The Official Game of the PBR;8 to glory the official game of the pbr;wikidata_q127050382;8 To Glory;external
8-Ball Pocket;8 ball pocket;wikidata_q115011044;8-Ball Pocket;external
8-bit Adventure Anthology;8 bit adventure anthology;wikidata_q124062682;8-bit Adventure Anthology: Volume I;external
8-bit Adventure Anthology: Volume I;8 bit adventure anthology volume i;wikidata_q124062682;8-bit Adventure Anthology: Volume I;external
8-Bit Adventures 2;8 bit adventures 2;wikidata_q108915508;8-Bit Adventures 2;external
