risk;previous_canonical_name;external_canonical_name;matched_by;external_id;external_url;aliases_count
edition_or_subtitle_added;Call Of Duty Black Ops Iiii;Call of Duty: Black Ops 4;Call Of Duty Black Ops Iiii;Q50376633;https://www.wikidata.org/wiki/Q50376633;17
edition_or_subtitle_added;Call of Duty Black Ops 3;Call of Duty: Black Ops III;Call of Duty Black Ops 3;Q19789342;https://www.wikidata.org/wiki/Q19789342;8
edition_or_subtitle_added;Call of Duty Modern Warfare 3;Call of Duty: Modern Warfare III;Call of Duty Modern Warfare 3;Q121295422;https://www.wikidata.org/wiki/Q121295422;25
edition_or_subtitle_added;Dark Souls 2 Scholar of the First Sin;Dark Souls II: Scholar of the First Sin;dark souls ii scholar of the first sin;Q22344575;https://www.wikidata.org/wiki/Q22344575;5
edition_or_subtitle_added;Dеtrоit Стать Человеком;Detroit: Стать человеком;Dеtrоit Стать Человеком;Q21246348;https://www.wikidata.org/wiki/Q21246348;2
edition_or_subtitle_added;FNAF Security Breach;Five Nights at Freddy's: Security Breach;FNAF Security Breach;Q97479056;https://www.wikidata.org/wiki/Q97479056;6
edition_or_subtitle_added;Mortal Kombat 11 Ultimate;Mortal Kombat 11: Ultimate Edition;Mortal Kombat 11 Ultimate;Q104887249;https://www.wikidata.org/wiki/Q104887249;4
edition_or_subtitle_added;Sonic Colours Ultimate;Sonic Colors: Ultimate;Sonic Colours Ultimate;Q108254416;https://www.wikidata.org/wiki/Q108254416;3
generic_local_name;Assassin S Creed;Assassin’s Creed;Assassin S Creed;Q420292;https://www.wikidata.org/wiki/Q420292;1
generic_local_name;Call Of Duty Black Ops;Black Ops;Call Of Duty Black Ops;Q207986;https://www.wikidata.org/wiki/Q207986;4
generic_local_name;Need For Speed;Need for Speed;Need For Speed;Q20031741;https://www.wikidata.org/wiki/Q20031741;4
generic_local_name;Spider Man;Spider-Man;Spider Man;Q25340029;https://www.wikidata.org/wiki/Q25340029;3
generic_local_name | short_renamed_match;Battlefront;Star Wars Battlefront;Battlefront;Q54862;https://www.wikidata.org/wiki/Q54862;4
generic_local_name | short_renamed_match;Cyberpunk;Cyberpunk 2077;Cyberpunk;Q3182559;https://www.wikidata.org/wiki/Q3182559;2
generic_local_name | short_renamed_match;Division;Tom Clancy's The Division;Division;Q13431312;https://www.wikidata.org/wiki/Q13431312;4
generic_local_name | short_renamed_match;Final Fantasy;Final Fantasy VI;Final Fantasy;Q535940;https://www.wikidata.org/wiki/Q535940;12
generic_local_name | short_renamed_match;Marvel Avengers;Avengers;avengers;Q54666134;https://www.wikidata.org/wiki/Q54666134;5
short_renamed_match;Battlefield 5;Battlefield V;Battlefield 5;Q21043786;https://www.wikidata.org/wiki/Q21043786;6
short_renamed_match;Crew;The Crew;the crew;Q13427836;https://www.wikidata.org/wiki/Q13427836;2
short_renamed_match;Days Gone;Жизнь после;жизнь после;Q24576564;https://www.wikidata.org/wiki/Q24576564;3
short_renamed_match;Diablo 3;Diablo III;Diablo 3;Q244030;https://www.wikidata.org/wiki/Q244030;7
short_renamed_match;Drive Club;Driveclub;Drive Club;Q10268796;https://www.wikidata.org/wiki/Q10268796;2
short_renamed_match;Lego Avengers;Lego Marvel's Avengers;Lego Avengers;Q18920891;https://www.wikidata.org/wiki/Q18920891;3
short_renamed_match;Oдни Из Нac;Одни из нас;Oдни Из Нac;Q1986744;https://www.wikidata.org/wiki/Q1986744;2
short_renamed_match;Жизнь Пoслe;Жизнь после;Жизнь Пoслe;Q24576564;https://www.wikidata.org/wiki/Q24576564;1
short_renamed_match;Ноrizоn Запретный Запад;Horizon Запретный Запад;Ноrizоn Запретный Запад;Q96216443;https://www.wikidata.org/wiki/Q96216443;1
short_renamed_match;Призрак Цусимы;Ghost of Tsushima;Призрак Цусимы;Q42564798;https://www.wikidata.org/wiki/Q42564798;3
short_renamed_match;Человек Паук;Spider-Man;Человек Паук;Q25340029;https://www.wikidata.org/wiki/Q25340029;3
