term;normalized;game_id;item_id;item_type;canonical_name;weight
call of duty 4 remastered;call of duty 4 remastered;call_of_duty_modern_warfare_remastered;call_of_duty_modern_warfare_remastered;game;Call of Duty Modern Warfare Remastered;917
Call of Duty Modern Warfare Remastered;call of duty modern warfare remastered;call_of_duty_modern_warfare_remastered;call_of_duty_modern_warfare_remastered;game;Call of Duty Modern Warfare Remastered;917
cod 4 remastered;cod 4 remastered;call_of_duty_modern_warfare_remastered;call_of_duty_modern_warfare_remastered;game;Call of Duty Modern Warfare Remastered;917
cod modern warfare remastered;cod modern warfare remastered;call_of_duty_modern_warfare_remastered;call_of_duty_modern_warfare_remastered;game;Call of Duty Modern Warfare Remastered;917
modern warfare remastered;modern warfare remastered;call_of_duty_modern_warfare_remastered;call_of_duty_modern_warfare_remastered;game;Call of Duty Modern Warfare Remastered;917
mw remastered;mw remastered;call_of_duty_modern_warfare_remastered;call_of_duty_modern_warfare_remastered;game;Call of Duty Modern Warfare Remastered;917
mwr;mwr;call_of_duty_modern_warfare_remastered;call_of_duty_modern_warfare_remastered;game;Call of Duty Modern Warfare Remastered;917
Call of Duty Modern Warfare 2;call of duty modern warfare 2;call_of_duty_modern_warfare_2;call_of_duty_modern_warfare_2;game;Call of Duty Modern Warfare 2;909
call of duty modern warfare 2-2000/;call of duty modern warfare 2 2000;call_of_duty_modern_warfare_2;call_of_duty_modern_warfare_2;game;Call of Duty Modern Warfare 2;909
call of duty modern warfare -2400/;call of duty modern warfare 2400;call_of_duty_modern_warfare_2;call_of_duty_modern_warfare_2;game;Call of Duty Modern Warfare 2;909
cod modern warfare 2;cod modern warfare 2;call_of_duty_modern_warfare_2;call_of_duty_modern_warfare_2;game;Call of Duty Modern Warfare 2;909
modern warfare 2;modern warfare 2;call_of_duty_modern_warfare_2;call_of_duty_modern_warfare_2;game;Call of Duty Modern Warfare 2;909
modern warfare 2 2022;modern warfare 2 2022;call_of_duty_modern_warfare_2;call_of_duty_modern_warfare_2;game;Call of Duty Modern Warfare 2;909
modern warfare ii;modern warfare ii;call_of_duty_modern_warfare_2;call_of_duty_modern_warfare_2;game;Call of Duty Modern Warfare 2;909
mw ii;mw ii;call_of_duty_modern_warfare_2;call_of_duty_modern_warfare_2;game;Call of Duty Modern Warfare 2;909
mw2;mw2;call_of_duty_modern_warfare_2;call_of_duty_modern_warfare_2;game;Call of Duty Modern Warfare 2;909
Call of Duty Modern Warfare 3;call of duty modern warfare 3;call_of_duty_modern_warfare_3;call_of_duty_modern_warfare_3;game;Call of Duty Modern Warfare 3;893
cod modern warfare 3;cod modern warfare 3;call_of_duty_modern_warfare_3;call_of_duty_modern_warfare_3;game;Call of Duty Modern Warfare 3;893
modern warfare 3;modern warfare 3;call_of_duty_modern_warfare_3;call_of_duty_modern_warfare_3;game;Call of Duty Modern Warfare 3;893
modern warfare 3 2023;modern warfare 3 2023;call_of_duty_modern_warfare_3;call_of_duty_modern_warfare_3;game;Call of Duty Modern Warfare 3;893
modern warfare iii;modern warfare iii;call_of_duty_modern_warfare_3;call_of_duty_modern_warfare_3;game;Call of Duty Modern Warfare 3;893
mw iii;mw iii;call_of_duty_modern_warfare_3;call_of_duty_modern_warfare_3;game;Call of Duty Modern Warfare 3;893
mw3;mw3;call_of_duty_modern_warfare_3;call_of_duty_modern_warfare_3;game;Call of Duty Modern Warfare 3;893
re 4 remake;re 4 remake;resident_evil_4_remake;resident_evil_4_remake;game;Resident Evil 4 Remake;891
re4;re4;resident_evil_4_remake;resident_evil_4_remake;game;Resident Evil 4 Remake;891
re4 remake;re4 remake;resident_evil_4_remake;resident_evil_4_remake;game;Resident Evil 4 Remake;891
resident evil 4;resident evil 4;resident_evil_4_remake;resident_evil_4_remake;game;Resident Evil 4 Remake;891
Resident Evil 4 Remake;resident evil 4 remake;resident_evil_4_remake;resident_evil_4_remake;game;Resident Evil 4 Remake;891
resident evil 4 remastered;resident evil 4 remastered;resident_evil_4_remake;resident_evil_4_remake;game;Resident Evil 4 Remake;891
rdr 2;rdr 2;red_dead_redemption_2;red_dead_redemption_2;game;Red Dead Redemption 2;890
rdr 2 рs4 совместим рs;rdr 2 ps4 cobmectиm ps;red_dead_redemption_2;red_dead_redemption_2;game;Red Dead Redemption 2;890
rdr 2 read dead redemption;rdr 2 read dead redemption;red_dead_redemption_2;red_dead_redemption_2;game;Red Dead Redemption 2;890
rdr 2 ,red dead redemption;rdr 2 red dead redemption;red_dead_redemption_2;red_dead_redemption_2;game;Red Dead Redemption 2;890
rdr ii;rdr ii;red_dead_redemption_2;red_dead_redemption_2;game;Red Dead Redemption 2;890
rdr2;rdr2;red_dead_redemption_2;red_dead_redemption_2;game;Red Dead Redemption 2;890
red dead 2;red dead 2;red_dead_redemption_2;red_dead_redemption_2;game;Red Dead Redemption 2;890
Red Dead Redemption 2;red dead redemption 2;red_dead_redemption_2;red_dead_redemption_2;game;Red Dead Redemption 2;890
God Of War;god of war;god_of_war;god_of_war;game;God Of War;881
god of war 4;god of war 4;god_of_war;god_of_war;game;God Of War;881
god war ps4;god war ps4;god_of_war;god_of_war;game;God Of War;881
бог войны;бoг boйhы;god_of_war;god_of_war;game;God Of War;881
cyberpunk;cyberpunk;cyberpunk_2077;cyberpunk_2077;game;Cyberpunk 2077;866
Cyberpunk 2077;cyberpunk 2077;cyberpunk_2077;cyberpunk_2077;game;Cyberpunk 2077;866
elder scrolls 5 skyrim;elder scrolls 5 skyrim;skyrim;skyrim;game;Skyrim;866
❌elder scrolls 5 skyrim special edition;elder scrolls 5 skyrim special edition;skyrim;skyrim;game;Skyrim;866
