id;canonical_name;aliases;category;priority;confidence;friend_resale_price_rub;shop_median_rub;db_match_count;sort_weight
call_of_duty_modern_warfare_remastered;Call of Duty Modern Warfare Remastered;cod modern warfare remastered | modern warfare remastered | call of duty 4 remastered | cod 4 remastered | mw remastered | mwr;call_of_duty;critical;high;5199;;97;917
call_of_duty_modern_warfare_2;Call of Duty Modern Warfare 2;call of duty modern warfare -2400/ | call of duty modern warfare 2-2000/ | modern warfare 2 | cod modern warfare 2 | mw2 | mw ii | modern warfare ii | modern warfare 2 2022;call_of_duty;critical;high;2399;5000;89;909
call_of_duty_modern_warfare_3;Call of Duty Modern Warfare 3;modern warfare 3 | cod modern warfare 3 | mw3 | mw iii | modern warfare iii | modern warfare 3 2023;call_of_duty;critical;high;3099;;73;893
resident_evil_4_remake;Resident Evil 4 Remake;resident evil 4 | resident evil 4 remastered | re4 | re4 remake | re 4 remake;expensive;high;high;1799;;131;891
red_dead_redemption_2;Red Dead Redemption 2;rdr 2 read dead redemption | rdr 2 рs4 совместим рs | rdr 2 ,red dead redemption | rdr2 | rdr 2 | red dead 2 | rdr ii;expensive;high;high;1799;2200;130;890
god_of_war;God Of War;god of war 4 | god war ps4 | бог войны;expensive;high;high;1099;1200;121;881
cyberpunk_2077;Cyberpunk 2077;cyberpunk | киберпанк 2077;expensive;high;high;1599;2000;106;866
skyrim;Skyrim;skyrim v | skyrim anniversary edition | ❌elder scrolls 5 skyrim special edition | skyrim special edition | 🎮the elder scrolls v: skyrim | elder scrolls 5 skyrim;expensive;critical;high;3499;3000;46;866
call_of_duty_black_ops_3;Call of Duty Black Ops 3;black ops 3 | call of duty black ops iii | cod black ops 3 | cod bo3 | black ops iii | bo3;call_of_duty;high;high;2199;;99;859
far_cry_4_limited_edition;Far Cry 4 Limited Edition;far cry 4 | far cry 4 limited;expensive;high;high;2199;;96;856
l_a_noire;L.A. Noire;la noire;expensive;critical;high;7199;;18;838
elden_ring;Elden Ring;elden ring ps4 | elden ring ps5;expensive;high;high;1999;2150;71;831
hogwarts_legacy;Hogwarts Legacy;hogwarts ps4 | hogwarts ps5 | хогвартс legacy | хогвартс легаси;expensive;high;high;1699;2190;69;829
resident_evil_6;Resident Evil 6;resident evil vi | re6 | re 6 | резидент эвил 6 | резидент ивел 6 | резик 6 | обитель зла 6;expensive;high;high;;;187;827
god_of_war_ragnarok;God Of War Ragnarok;god of war ragnarek | ragnarok ps4 | ragnarok ps5 | бог войны рагнарок;expensive;high;high;1799;2900;66;826
spider_man_game_of_the_year;Spider-Man Game of the Year;человек паук издание игра года | spider-man goty;expensive;high;high;1899;;55;815
the_sims_4;The Sims 4;sims 4;expensive;high;high;2799;;43;803
ghost_of_tsushima;Ghost Of Tsushima;ghost tsushima | ghost of tushima | призрак цусимы;expensive;high;high;1599;2275;42;802
call_of_duty_infinite_warfare;Call Of Duty Infinite Warfare;cod infinite warfare | infinite warfare | infinity warfare | infiniti warfare | legacy edition infinite warfare;call_of_duty;high;high;1999;1900;40;800
spider_man_miles_morales;Spider Man Miles Morales;miles morales | майлз моралес;expensive;high;high;1799;2550;38;798
mafia_trilogy;Mafia Trilogy;mafia definitive trilogy | mafia 1 2 3 | мафия trilogy;expensive;high;high;1799;2400;30;790
call_of_duty_advanced_warfare;Call Of Duty Advanced Warfare;cod advanced warfare | advanced warfare | advanced warfire | adwanced warfare | advanced warfare ps4;call_of_duty;high;high;2399;2000;29;789
nier_automata;Nier Automata;nier automata game of the yorha;expensive;high;high;1499;1750;17;777
ratchet_and_clank;Ratchet And Clank;ratchet clank | ratchet clank ps4 | ratchet clank диск | ratchet clark | ratchet clark ps4 | рэтчет кланк | ретчет кланк | рэтчет и кланк | ретчет и кланк;expensive;high;high;1099;1590;5;765
resident_evil_2_remake;Resident Evil 2 Remake;resident evil 2 | re2 remake | re 2 remake | re2;expensive;high;high;;;125;765
dark_souls_remastered;Dark Souls Remastered;dark souls remaster | dark souls 1 remastered | dark souls i remastered;expensive;high;high;1299;1300;4;764
