term;normalized;item_id;item_type;canonical_name;weight
call of duty 4 remastered;call of duty 4 remastered;game:call_of_duty_modern_warfare_remastered;game;Call of Duty Modern Warfare Remastered;917
Call of Duty Modern Warfare Remastered;call of duty modern warfare remastered;game:call_of_duty_modern_warfare_remastered;game;Call of Duty Modern Warfare Remastered;917
cod 4 remastered;cod 4 remastered;game:call_of_duty_modern_warfare_remastered;game;Call of Duty Modern Warfare Remastered;917
cod modern warfare remastered;cod modern warfare remastered;game:call_of_duty_modern_warfare_remastered;game;Call of Duty Modern Warfare Remastered;917
modern warfare remastered;modern warfare remastered;game:call_of_duty_modern_warfare_remastered;game;Call of Duty Modern Warfare Remastered;917
mw remastered;mw remastered;game:call_of_duty_modern_warfare_remastered;game;Call of Duty Modern Warfare Remastered;917
mwr;mwr;game:call_of_duty_modern_warfare_remastered;game;Call of Duty Modern Warfare Remastered;917
Call of Duty Modern Warfare 2;call of duty modern warfare 2;game:call_of_duty_modern_warfare_2;game;Call of Duty Modern Warfare 2;909
call of duty modern warfare 2-2000/;call of duty modern warfare 2 2000;game:call_of_duty_modern_warfare_2;game;Call of Duty Modern Warfare 2;909
call of duty modern warfare -2400/;call of duty modern warfare 2400;game:call_of_duty_modern_warfare_2;game;Call of Duty Modern Warfare 2;909
cod modern warfare 2;cod modern warfare 2;game:call_of_duty_modern_warfare_2;game;Call of Duty Modern Warfare 2;909
modern warfare 2;modern warfare 2;game:call_of_duty_modern_warfare_2;game;Call of Duty Modern Warfare 2;909
modern warfare 2 2022;modern warfare 2 2022;game:call_of_duty_modern_warfare_2;game;Call of Duty Modern Warfare 2;909
modern warfare ii;modern warfare ii;game:call_of_duty_modern_warfare_2;game;Call of Duty Modern Warfare 2;909
mw ii;mw ii;game:call_of_duty_modern_warfare_2;game;Call of Duty Modern Warfare 2;909
mw2;mw2;game:call_of_duty_modern_warfare_2;game;Call of Duty Modern Warfare 2;909
cuh 1000;cuh 1000;console:ps4_fat;console;PlayStation 4 Fat;900
cuh 1100;cuh 1100;console:ps4_fat;console;PlayStation 4 Fat;900
cuh 1200;cuh 1200;console:ps4_fat;console;PlayStation 4 Fat;900
cuh 2000;cuh 2000;console:ps4_slim;console;PlayStation 4 Slim;900
cuh 2100;cuh 2100;console:ps4_slim;console;PlayStation 4 Slim;900
cuh 2200;cuh 2200;console:ps4_slim;console;PlayStation 4 Slim;900
cuh 7000;cuh 7000;console:ps4_pro;console;PlayStation 4 PRO;900
cuh 7100;cuh 7100;console:ps4_pro;console;PlayStation 4 PRO;900
cuh 7200;cuh 7200;console:ps4_pro;console;PlayStation 4 PRO;900
PlayStation 4 Fat;playstation 4 fat;console:ps4_fat;console;PlayStation 4 Fat;900
playstation 4 phat;playstation 4 phat;console:ps4_fat;console;PlayStation 4 Fat;900
PlayStation 4 PRO;playstation 4 pro;console:ps4_pro;console;PlayStation 4 PRO;900
PlayStation 4 Slim;playstation 4 slim;console:ps4_slim;console;PlayStation 4 Slim;900
ps4 fat;ps4 fat;console:ps4_fat;console;PlayStation 4 Fat;900
ps4 phat;ps4 phat;console:ps4_fat;console;PlayStation 4 Fat;900
ps4 pro;ps4 pro;console:ps4_pro;console;PlayStation 4 PRO;900
ps4 pro 1tb;ps4 pro 1tb;console:ps4_pro;console;PlayStation 4 PRO;900
ps4 slim;ps4 slim;console:ps4_slim;console;PlayStation 4 Slim;900
ps4 slim 1tb;ps4 slim 1tb;console:ps4_slim;console;PlayStation 4 Slim;900
ps4 slim 500gb;ps4 slim 500gb;console:ps4_slim;console;PlayStation 4 Slim;900
пс4 слим;пc4 cлиm;console:ps4_slim;console;PlayStation 4 Slim;900
пс4 про;пc4 пpo;console:ps4_pro;console;PlayStation 4 PRO;900
пс4 фат;пc4 фat;console:ps4_fat;console;PlayStation 4 Fat;900
плойка слим;плoйka cлиm;console:ps4_slim;console;PlayStation 4 Slim;900
плойка про;плoйka пpo;console:ps4_pro;console;PlayStation 4 PRO;900
плойка фат;плoйka фat;console:ps4_fat;console;PlayStation 4 Fat;900
Call of Duty Modern Warfare 3;call of duty modern warfare 3;game:call_of_duty_modern_warfare_3;game;Call of Duty Modern Warfare 3;893
cod modern warfare 3;cod modern warfare 3;game:call_of_duty_modern_warfare_3;game;Call of Duty Modern Warfare 3;893
modern warfare 3;modern warfare 3;game:call_of_duty_modern_warfare_3;game;Call of Duty Modern Warfare 3;893
modern warfare 3 2023;modern warfare 3 2023;game:call_of_duty_modern_warfare_3;game;Call of Duty Modern Warfare 3;893
modern warfare iii;modern warfare iii;game:call_of_duty_modern_warfare_3;game;Call of Duty Modern Warfare 3;893
mw iii;mw iii;game:call_of_duty_modern_warfare_3;game;Call of Duty Modern Warfare 3;893
mw3;mw3;game:call_of_duty_modern_warfare_3;game;Call of Duty Modern Warfare 3;893
re 4 remake;re 4 remake;game:resident_evil_4_remake;game;Resident Evil 4 Remake;891
