id;item_type;canonical_name;price_source;price_confidence;base_market_price_rub;quick_sell_price_rub;net_after_sale_rub;max_buy_price_rub;friend_resale_price_rub;shop_median_rub;aliases
console:ps4_fat;console;PlayStation 4 Fat;manual_console_catalog;manual;13000;13000;11830.0;11500;;;ps4 fat | ps4 phat | playstation 4 fat | playstation 4 phat | пс4 фат | плойка фат | cuh 1000 | cuh 1100 | cuh 1200
console:ps4_pro;console;PlayStation 4 PRO;manual_console_catalog;manual;20000;20000;18200.0;17900;;;ps4 pro | playstation 4 pro | ps4 pro 1tb | пс4 про | плойка про | cuh 7000 | cuh 7100 | cuh 7200
console:ps4_slim;console;PlayStation 4 Slim;manual_console_catalog;manual;15000;15000;13650.0;13350;;;ps4 slim | playstation 4 slim | ps4 slim 500gb | ps4 slim 1tb | пс4 слим | плойка слим | cuh 2000 | cuh 2100 | cuh 2200
controller:dualshock4_original;controller;DualShock 4 Original;manual_controller_value;manual;1300;1300;1183.0;850;;;dualshock 4 | dualshock4 | ds4 | ориг геймпад ps4 | оригинальный геймпад ps4 | джойстик ps4 оригинал
controller:ps4_third_party;controller;PS4 Controller Third-party;manual_controller_value;manual;700;700;637.0;300;;;геймпад ps4 не оригинал | неориг геймпад ps4 | джойстик ps4 не оригинал | совместимый геймпад ps4 | controller ps4
game:call_of_duty_modern_warfare_remastered;game;Call of Duty Modern Warfare Remastered;friend_resale_price;high;5199;4150;3726.5;3400;5199;;cod modern warfare remastered | modern warfare remastered | call of duty 4 remastered | cod 4 remastered | mw remastered | mwr | Call of Duty Modern Warfare Remastered
game:call_of_duty_modern_warfare_2;game;Call of Duty Modern Warfare 2;friend_resale_price;high;2399;1900;1679.0;1350;2399;5000;call of duty modern warfare -2400/ | call of duty modern warfare 2-2000/ | modern warfare 2 | cod modern warfare 2 | mw2 | mw ii | modern warfare ii | modern warfare 2 2022 | Call of Duty Modern Warfare 2
game:call_of_duty_modern_warfare_3;game;Call of Duty Modern Warfare 3;friend_resale_price;high;3099;2500;2225.0;1900;3099;;modern warfare 3 | cod modern warfare 3 | mw3 | mw iii | modern warfare iii | modern warfare 3 2023 | Call of Duty Modern Warfare 3
game:resident_evil_4_remake;game;Resident Evil 4 Remake;friend_resale_price;high;1799;1450;1269.5;950;1799;;resident evil 4 | resident evil 4 remastered | re4 | re4 remake | re 4 remake | Resident Evil 4 Remake
game:red_dead_redemption_2;game;Red Dead Redemption 2;friend_resale_price;high;1799;1450;1269.5;950;1799;2200;rdr 2 read dead redemption | rdr 2 рs4 совместим рs | rdr 2 ,red dead redemption | rdr2 | rdr 2 | red dead 2 | rdr ii | Red Dead Redemption 2
game:god_of_war;game;God Of War;friend_resale_price;high;1099;900;769.0;450;1099;1200;god of war 4 | god war ps4 | бог войны | God Of War
game:cyberpunk_2077;game;Cyberpunk 2077;friend_resale_price;high;1599;1300;1133.0;800;1599;2000;cyberpunk | киберпанк 2077 | Cyberpunk 2077
game:skyrim;game;Skyrim;friend_resale_price;high;3499;2800;2498.0;2150;3499;3000;skyrim v | skyrim anniversary edition | ❌elder scrolls 5 skyrim special edition | skyrim special edition | 🎮the elder scrolls v: skyrim | elder scrolls 5 skyrim | Skyrim
game:call_of_duty_black_ops_3;game;Call of Duty Black Ops 3;friend_resale_price;high;2199;1750;1542.5;1200;2199;;black ops 3 | call of duty black ops iii | cod black ops 3 | cod bo3 | black ops iii | bo3 | Call of Duty Black Ops 3
game:far_cry_4_limited_edition;game;Far Cry 4 Limited Edition;friend_resale_price;high;2199;1750;1542.5;1200;2199;;far cry 4 | far cry 4 limited | Far Cry 4 Limited Edition
game:l_a_noire;game;L.A. Noire;friend_resale_price;high;7199;5750;5182.5;4850;7199;;la noire | L.A. Noire
game:elden_ring;game;Elden Ring;friend_resale_price;high;1999;1600;1406.0;1100;1999;2150;elden ring ps4 | elden ring ps5 | Elden Ring
game:hogwarts_legacy;game;Hogwarts Legacy;friend_resale_price;high;1699;1350;1178.5;850;1699;2190;hogwarts ps4 | hogwarts ps5 | хогвартс legacy | хогвартс легаси | Hogwarts Legacy
game:resident_evil_6;game;Resident Evil 6;missing;missing;;;;;;;resident evil vi | re6 | re 6 | резидент эвил 6 | резидент ивел 6 | резик 6 | обитель зла 6 | Resident Evil 6
