external_id;canonical_name;label_en;label_ru;platforms;aliases;external_url
Q123398592;#BLUD;#BLUD;;PlayStation 4;#BLUD;https://www.wikidata.org/wiki/Q123398592
Q129521260;#DRIVE Rally;#DRIVE Rally;;PlayStation 5;#DRIVE Rally;https://www.wikidata.org/wiki/Q129521260
Q23776813;'n Verlore Verstand;'n Verlore Verstand;;PlayStation 4;'n Verlore Verstand;https://www.wikidata.org/wiki/Q23776813
Q120336440;-Making*Lovers- First Blush;-Making*Lovers- First Blush;;PlayStation 4;-Making*Lovers- First Blush | HajiLove -Making * Lovers-;https://www.wikidata.org/wiki/Q120336440
Q2708372;.hack//G.U.;.hack//G.U.;.hack//G.U.;PlayStation 4;.hack//G.U.;https://www.wikidata.org/wiki/Q2708372
Q30646554;.hack//G.U. Last Recode;.hack//G.U. Last Recode;.hack//G.U. Last Recode;PlayStation 4;.hack//G.U. Last Recode | .hack//GU Last Recode;https://www.wikidata.org/wiki/Q30646554
Q42266754;10 Second Ninja X;10 Second Ninja X;;PlayStation 4;10 Second Ninja X;https://www.wikidata.org/wiki/Q42266754
Q2669580;10-Yard Fight;10-Yard Fight;10-Yard Fight;PlayStation 4;10-Yard Fight;https://www.wikidata.org/wiki/Q2669580
Q134837792;1000 Deaths;1000 Deaths;;PlayStation 5;1000 Deaths;https://www.wikidata.org/wiki/Q134837792
Q125500612;1000xResist;1000xResist;1000xResist;PlayStation 5;1000xResist;https://www.wikidata.org/wiki/Q125500612
Q17505226;1001 Spikes;1001 Spikes;1001 Spikes;PlayStation 4;1001 Spikes | Aban Hawkins & the 1001 Spikes;https://www.wikidata.org/wiki/Q17505226
Q29564205;100ft Robot Golf;100ft Robot Golf;100ft Robot Golf;PlayStation 4;100ft Robot Golf | 100ft Robot Golf (VR);https://www.wikidata.org/wiki/Q29564205
Q58046766;101 Ways To Die;101 Ways To Die;;PlayStation 4;101 Ways To Die;https://www.wikidata.org/wiki/Q58046766
Q58874101;11-11 Memories Retold;11-11 Memories Retold;11-11 Memories Retold;PlayStation 4;11-11 Memories Retold;https://www.wikidata.org/wiki/Q58874101
Q108855009;112 Operator;112 Operator;;PlayStation 4;112 Operator;https://www.wikidata.org/wiki/Q108855009
Q20982904;13 Sentinels: Aegis Rim;13 Sentinels: Aegis Rim;13 Sentinels: Aegis Rim;PlayStation 4;13 Sentinels: Aegis Rim | Jūsan Kihei Bōeiken | 13 Sentinels;https://www.wikidata.org/wiki/Q20982904
Q135916240;1348 Ex Voto;1348 Ex Voto;;PlayStation 5;1348 Ex Voto;https://www.wikidata.org/wiki/Q135916240
Q15665645;140;140;140;PlayStation 4;140;https://www.wikidata.org/wiki/Q15665645
Q126692800;15in1 Solitaire;15in1 Solitaire;;PlayStation 5 | PlayStation 4;15in1 Solitaire;https://www.wikidata.org/wiki/Q126692800
Q122307487;16-Bit Soccer;16-Bit Soccer;;PlayStation 4;16-Bit Soccer;https://www.wikidata.org/wiki/Q122307487
Q106563965;1971 Project Helios;1971 Project Helios;;PlayStation 4;1971 Project Helios;https://www.wikidata.org/wiki/Q106563965
Q23976492;1979 Revolution: Black Friday;1979 Revolution: Black Friday;1979 Revolution: Black Friday;PlayStation 4;1979 Revolution: Black Friday | 1979 Revolution;https://www.wikidata.org/wiki/Q23976492
Q96109427;198X;198X;;PlayStation 4;198X;https://www.wikidata.org/wiki/Q96109427
Q115184723;1993 Shenandoah;1993 Shenandoah;;PlayStation 4;1993 Shenandoah;https://www.wikidata.org/wiki/Q115184723
Q135064171;1998: The Toll Keeper Story;1998: The Toll Keeper Story;;PlayStation 5;1998: The Toll Keeper Story | 1998;https://www.wikidata.org/wiki/Q135064171
Q18345138;2018 God of War;;;PlayStation 5 | PlayStation 4;2018 God of War | God of War: A New Beginning;https://www.wikidata.org/wiki/Q18345138
Q16267865;2064: Read Only Memories;2064: Read Only Memories;2064: Read Only Memories;PlayStation 4;2064: Read Only Memories | Read Only Memories: Type-M | 2064;https://www.wikidata.org/wiki/Q16267865
